Timestamp (s),Latitude (deg),Longitude (deg),Speed (km/h)
1.960,50.44910525,30.52385957,69.22
2.000,50.44910767,30.52386969,68.92
2.040,50.44911012,30.52387972,68.59
2.080,50.44911260,30.52388968,68.23
2.120,50.44911511,30.52389956,67.83
2.160,50.44911765,30.52390934,67.40
2.200,50.44912022,30.52391903,66.94
2.240,50.44912281,30.52392862,66.45
2.280,50.44912544,30.52393809,65.93
2.320,50.44912810,30.52394745,65.37
2.360,50.44913078,30.52395669,64.79
2.400,50.44913349,30.52396580,64.18
2.440,50.44913623,30.52397479,63.54
2.480,50.44913900,30.52398363,62.86
2.520,50.44914180,30.52399232,62.17
2.560,50.44914463,30.52400087,61.44
2.600,50.44914749,30.52400926,60.69
2.640,50.44915038,30.52401748,59.92
2.680,50.44915329,30.52402554,59.12
2.720,50.44915624,30.52403342,58.30
2.760,50.44915921,30.52404118,57.76
2.800,50.44916221,30.52404888,57.60
2.840,50.44916524,30.52405653,57.50
2.880,50.44916830,30.52406414,57.41
2.920,50.44917139,30.52407170,57.32
2.960,50.44917451,30.52407922,57.24
3.000,50.44917766,30.52408669,57.15
3.040,50.44918084,30.52409412,57.07
3.080,50.44918404,30.52410150,57.00
3.120,50.44918728,30.52410884,56.92
3.160,50.44919054,30.52411613,56.85
3.200,50.44919383,30.52412337,56.78
3.240,50.44919715,30.52413057,56.71
3.280,50.44920050,30.52413772,56.65
3.320,50.44920388,30.52414483,56.59
3.360,50.44920729,30.52415189,56.53
3.400,50.44921073,30.52415891,56.48
3.440,50.44921420,30.52416588,56.43
3.480,50.44921769,30.52417280,56.38
3.520,50.44922122,30.52417968,56.33
3.560,50.44922477,30.52418652,56.29
3.600,50.44922835,30.52419331,56.25
3.640,50.44923196,30.52420005,56.21
3.680,50.44923560,30.52420675,56.18
3.720,50.44923927,30.52421340,56.15
3.760,50.44924297,30.52422000,56.12
3.800,50.44924670,30.52422657,56.09
3.840,50.44925046,30.52423308,56.07
3.880,50.44925424,30.52423955,56.05
3.920,50.44925805,30.52424598,56.04
3.960,50.44926190,30.52425235,56.02
4.000,50.44926577,30.52425869,56.01
4.040,50.44926967,30.52426498,56.01
4.080,50.44927360,30.52427122,56.00
4.120,50.44927756,30.52427742,56.00
4.160,50.44928155,30.52428357,56.01
4.200,50.44928557,30.52428967,56.01
4.240,50.44928961,30.52429573,56.02
4.280,50.44929369,30.52430175,56.03
4.320,50.44929779,30.52430772,56.04
4.360,50.44930193,30.52431364,56.06
4.400,50.44930609,30.52431952,56.08
4.440,50.44931028,30.52432535,56.11
4.480,50.44931450,30.52433114,56.13
4.520,50.44931875,30.52433688,56.16
4.560,50.44932303,30.52434258,56.19
4.600,50.44932733,30.52434823,56.23
4.640,50.44933167,30.52435383,56.27
4.680,50.44933603,30.52435939,56.31
4.720,50.44934043,30.52436491,56.35
4.760,50.44934485,30.52437038,56.40
4.800,50.44934930,30.52437580,56.45
4.840,50.44935378,30.52438118,56.50
4.880,50.44935829,30.52438651,56.56
4.920,50.44936283,30.52439180,56.62
4.960,50.44936740,30.52439704,56.68
5.000,50.44937200,30.52440223,56.74
5.040,50.44937662,30.52440738,56.81
5.080,50.44938128,30.52441249,56.88
5.120,50.44938596,30.52441755,56.95
5.160,50.44939067,30.52442256,57.03
5.200,50.44939542,30.52442753,57.11
5.240,50.44940019,30.52443245,57.19
5.280,50.44940499,30.52443733,57.27
5.320,50.44940982,30.52444216,57.36
5.360,50.44941467,30.52444694,57.45
5.400,50.44941956,30.52445169,57.55
5.440,50.44942448,30.52445638,57.64
5.480,50.44942944,30.52446103,57.89
5.520,50.44943448,30.52446563,58.39
5.560,50.44943960,30.52447019,58.97
5.600,50.44944480,30.52447470,59.53
5.640,50.44945007,30.52447917,60.07
5.680,50.44945543,30.52448359,60.60
5.720,50.44946085,30.52448797,61.11
5.760,50.44946635,30.52449230,61.60
5.800,50.44947191,30.52449659,62.08
5.840,50.44947754,30.52450083,62.54
5.880,50.44948323,30.52450502,62.98
5.920,50.44948898,30.52450917,63.40
5.960,50.44949479,30.52451327,63.80
6.000,50.44950065,30.52451733,64.19
6.040,50.44950657,30.52452134,64.55
6.080,50.44951253,30.52452531,64.89
6.120,50.44951854,30.52452923,65.21
6.160,50.44952460,30.52453311,65.52
6.200,50.44953069,30.52453694,65.80
6.240,50.44953683,30.52454072,66.06
6.280,50.44954301,30.52454446,66.30
6.320,50.44954921,30.52454815,66.52
6.360,50.44955546,30.52455180,66.71
6.400,50.44956172,30.52455540,66.89
6.440,50.44956802,30.52455896,67.04
6.480,50.44957434,30.52456247,67.17
6.520,50.44958068,30.52456594,67.28
6.560,50.44958704,30.52456936,67.36
6.600,50.44959342,30.52457273,67.42
6.640,50.44959981,30.52457606,67.47
6.680,50.44960622,30.52457935,67.48
6.720,50.44961263,30.52458259,67.48
6.760,50.44961905,30.52458578,67.45
6.800,50.44962547,30.52458893,67.40
6.840,50.44963189,30.52459203,67.32
6.880,50.44963831,30.52459508,67.22
6.920,50.44964473,30.52459809,67.10
6.960,50.44965114,30.52460106,66.96
7.000,50.44965754,30.52460398,66.79
7.040,50.44966393,30.52460685,66.60
7.080,50.44967031,30.52460968,66.38
7.120,50.44967667,30.52461246,66.14
7.160,50.44968301,30.52461520,65.88
7.200,50.44968932,30.52461789,65.59
7.240,50.44969562,30.52462054,65.28
7.280,50.44970189,30.52462314,64.94
7.320,50.44970812,30.52462569,64.58
7.360,50.44971433,30.52462820,64.20
7.400,50.44972050,30.52463067,63.79
7.440,50.44972663,30.52463309,63.36
7.480,50.44973273,30.52463546,62.90
7.520,50.44973878,30.52463779,62.42
7.560,50.44974479,30.52464007,61.92
7.600,50.44975075,30.52464231,61.39
7.640,50.44975666,30.52464450,60.84
7.680,50.44976251,30.52464664,60.26
7.720,50.44976832,30.52464874,59.66
7.760,50.44977406,30.52465080,59.03
7.800,50.44977975,30.52465281,58.38
7.840,50.44978537,30.52465477,57.71
7.880,50.44979093,30.52465669,57.01
7.920,50.44979642,30.52465856,56.28
7.960,50.44980184,30.52466039,55.53
8.000,50.44980718,30.52466217,54.76
8.040,50.44981245,30.52466390,53.96
8.080,50.44981765,30.52466559,53.14
8.120,50.44982276,30.52466724,52.29
8.160,50.44982779,30.52466884,51.41
8.200,50.44983274,30.52467037,50.59
8.240,50.44983764,30.52467180,49.92
8.280,50.44984250,30.52467309,49.36
8.320,50.44984731,30.52467426,48.81
8.360,50.44985209,30.52467530,48.29
8.400,50.44985682,30.52467623,47.79
8.440,50.44986151,30.52467704,47.30
8.480,50.44986617,30.52467774,46.84
8.520,50.44987078,30.52467833,46.39
8.560,50.44987536,30.52467882,45.96
8.600,50.44987990,30.52467921,45.55
8.640,50.44988440,30.52467951,45.15
8.680,50.44988887,30.52467971,44.77
8.720,50.44989330,30.52467983,44.40
8.760,50.44989770,30.52467987,44.05
8.800,50.44990206,30.52467983,43.70
8.840,50.44990639,30.52467971,43.37
8.880,50.44991068,30.52467952,43.05
8.920,50.44991495,30.52467927,42.74
8.960,50.44991918,30.52467895,42.44
9.000,50.44992338,30.52467858,42.15
9.040,50.44992755,30.52467815,41.87
9.080,50.44993169,30.52467767,41.59
9.120,50.44993580,30.52467714,41.32
9.160,50.44993988,30.52467657,41.06
9.200,50.44994394,30.52467597,40.81
9.240,50.44994796,30.52467532,40.56
9.280,50.44995196,30.52467465,40.31
9.320,50.44995594,30.52467395,40.07
9.360,50.44995989,30.52467323,39.83
9.400,50.44996381,30.52467249,39.60
9.440,50.44996771,30.52467173,39.37
9.480,50.44997159,30.52467096,39.15
9.520,50.44997544,30.52467019,38.93
9.560,50.44997928,30.52466942,38.71
9.600,50.44998309,30.52466864,38.50
9.640,50.44998688,30.52466787,38.28
9.680,50.44999065,30.52466711,38.08
9.720,50.44999440,30.52466637,37.87
9.760,50.44999813,30.52466564,37.67
9.800,50.45000184,30.52466493,37.47
9.840,50.45000553,30.52466425,37.27
9.880,50.45000921,30.52466360,37.08
9.920,50.45001287,30.52466298,36.90
9.960,50.45001652,30.52466240,36.71
10.000,50.45002015,30.52466186,36.54
10.040,50.45002377,30.52466137,36.36
10.080,50.45002737,30.52466092,36.20
10.120,50.45003096,30.52466053,36.04
10.160,50.45003453,30.52466020,35.89
10.200,50.45003810,30.52465993,35.75
10.240,50.45004165,30.52465972,35.62
10.280,50.45004519,30.52465959,35.50
10.320,50.45004873,30.52465952,35.39
10.360,50.45005225,30.52465954,35.30
10.400,50.45005576,30.52465964,35.21
10.440,50.45005927,30.52465982,35.15
10.480,50.45006277,30.52466009,35.10
10.520,50.45006626,30.52466046,35.06
10.560,50.45006975,30.52466092,35.05
10.600,50.45007323,30.52466148,35.05
10.640,50.45007670,30.52466215,35.08
10.680,50.45008017,30.52466293,35.13
10.720,50.45008364,30.52466383,35.20
10.760,50.45008710,30.52466484,35.30
10.800,50.45009057,30.52466597,35.43
10.840,50.45009403,30.52466723,35.58
10.880,50.45009748,30.52466862,35.77
10.920,50.45010094,30.52467014,35.96
10.960,50.45010439,30.52467177,36.09
11.000,50.45010782,30.52467352,36.16
11.040,50.45011124,30.52467538,36.24
11.080,50.45011464,30.52467734,36.32
11.120,50.45011803,30.52467940,36.41
11.160,50.45012141,30.52468156,36.51
11.200,50.45012477,30.52468381,36.61
11.240,50.45012811,30.52468616,36.71
11.280,50.45013144,30.52468859,36.81
11.320,50.45013476,30.52469111,36.92
11.360,50.45013806,30.52469371,37.02
11.400,50.45014135,30.52469640,37.12
11.440,50.45014463,30.52469916,37.22
11.480,50.45014788,30.52470199,37.32
11.520,50.45015113,30.52470490,37.42
11.560,50.45015436,30.52470787,37.51
11.600,50.45015757,30.52471091,37.59
11.640,50.45016077,30.52471401,37.68
11.680,50.45016396,30.52471716,37.75
11.720,50.45016713,30.52472038,37.82
11.760,50.45017029,30.52472365,37.88
11.800,50.45017343,30.52472696,37.94
11.840,50.45017656,30.52473033,37.99
11.880,50.45017968,30.52473373,38.03
11.920,50.45018278,30.52473718,38.06
11.960,50.45018586,30.52474067,38.08
12.000,50.45018893,30.52474419,38.09
12.040,50.45019199,30.52474774,38.10
12.080,50.45019503,30.52475133,38.09
12.120,50.45019806,30.52475493,38.07
12.160,50.45020107,30.52475856,38.05
12.200,50.45020407,30.52476222,38.01
12.240,50.45020705,30.52476588,37.96
12.280,50.45021002,30.52476956,37.90
12.320,50.45021297,30.52477326,37.83
12.360,50.45021591,30.52477696,37.75
12.400,50.45021884,30.52478066,37.65
12.440,50.45022175,30.52478437,37.55
12.480,50.45022465,30.52478807,37.43
12.520,50.45022753,30.52479178,37.30
12.560,50.45023040,30.52479547,37.16
12.600,50.45023325,30.52479915,37.01
12.640,50.45023609,30.52480282,36.84
12.680,50.45023891,30.52480648,36.66
12.720,50.45024172,30.52481011,36.47
12.760,50.45024452,30.52481373,36.27
12.800,50.45024730,30.52481732,36.06
12.840,50.45025006,30.52482088,35.83
12.880,50.45025282,30.52482441,35.59
12.920,50.45025555,30.52482790,35.34
12.960,50.45025828,30.52483136,35.08
13.000,50.45026098,30.52483477,34.81
13.040,50.45026368,30.52483815,34.52
13.080,50.45026636,30.52484148,34.22
13.120,50.45026902,30.52484475,33.91
13.160,50.45027167,30.52484798,33.60
13.200,50.45027431,30.52485115,33.27
13.240,50.45027693,30.52485426,32.92
13.280,50.45027954,30.52485732,32.57
13.320,50.45028213,30.52486030,32.21
13.360,50.45028471,30.52486322,31.84
13.400,50.45028727,30.52486607,31.46
13.440,50.45028982,30.52486885,31.07
13.480,50.45029235,30.52487155,30.68
13.520,50.45029487,30.52487417,30.28
13.560,50.45029738,30.52487671,29.87
13.600,50.45029987,30.52487916,29.45
13.640,50.45030234,30.52488153,29.04
13.680,50.45030480,30.52488385,28.72
13.720,50.45030722,30.52488618,28.47
13.760,50.45030962,30.52488850,28.23
13.800,50.45031199,30.52489083,27.99
13.840,50.45031433,30.52489314,27.75
13.880,50.45031665,30.52489545,27.51
13.920,50.45031894,30.52489776,27.28
13.960,50.45032121,30.52490006,27.05
14.000,50.45032346,30.52490235,26.82
14.040,50.45032568,30.52490463,26.60
14.080,50.45032788,30.52490690,26.37
14.120,50.45033006,30.52490916,26.15
14.160,50.45033221,30.52491141,25.93
14.200,50.45033435,30.52491365,25.71
14.240,50.45033646,30.52491587,25.49
14.280,50.45033856,30.52491807,25.28
14.320,50.45034064,30.52492026,25.07
14.360,50.45034270,30.52492244,24.85
14.400,50.45034474,30.52492459,24.64
14.440,50.45034676,30.52492673,24.44
14.480,50.45034877,30.52492884,24.23
14.520,50.45035076,30.52493093,24.03
14.560,50.45035274,30.52493301,23.82
14.600,50.45035471,30.52493506,23.62
14.640,50.45035666,30.52493708,23.42
14.680,50.45035859,30.52493908,23.23
14.720,50.45036052,30.52494105,23.03
14.760,50.45036243,30.52494300,22.84
14.800,50.45036434,30.52494492,22.65
14.840,50.45036623,30.52494681,22.46
14.880,50.45036811,30.52494867,22.28
14.920,50.45036998,30.52495049,22.09
14.960,50.45037185,30.52495229,21.91
15.000,50.45037370,30.52495405,21.74
15.040,50.45037555,30.52495578,21.56
15.080,50.45037740,30.52495747,21.39
15.120,50.45037923,30.52495913,21.22
15.160,50.45038106,30.52496075,21.06
15.200,50.45038289,30.52496233,20.90
15.240,50.45038471,30.52496388,20.74
15.280,50.45038653,30.52496538,20.59
15.320,50.45038835,30.52496684,20.45
15.360,50.45039016,30.52496826,20.31
15.400,50.45039198,30.52496964,20.17
15.440,50.45039379,30.52497097,20.04
15.480,50.45039560,30.52497226,19.92
15.520,50.45039741,30.52497350,19.81
15.560,50.45039922,30.52497469,19.70
15.600,50.45040104,30.52497584,19.60
15.640,50.45040286,30.52497693,19.50
15.680,50.45040468,30.52497798,19.42
15.720,50.45040650,30.52497897,19.34
15.760,50.45040833,30.52497992,19.28
15.800,50.45041016,30.52498081,19.22
15.840,50.45041200,30.52498164,19.17
15.880,50.45041384,30.52498242,19.14
15.920,50.45041569,30.52498315,19.11
15.960,50.45041755,30.52498381,19.10
16.000,50.45041942,30.52498442,19.10
16.040,50.45042130,30.52498497,19.11
16.080,50.45042318,30.52498546,19.14
16.120,50.45042507,30.52498589,19.18
16.160,50.45042698,30.52498626,19.23
16.200,50.45042890,30.52498656,19.30
16.240,50.45043082,30.52498680,19.38
16.280,50.45043277,30.52498697,19.48
16.320,50.45043472,30.52498708,19.59
16.360,50.45043669,30.52498712,19.72
16.400,50.45043867,30.52498710,19.86
16.440,50.45044067,30.52498704,20.00
16.480,50.45044267,30.52498693,20.14
16.520,50.45044470,30.52498677,20.28
16.560,50.45044673,30.52498657,20.42
16.600,50.45044878,30.52498633,20.55
16.640,50.45045083,30.52498604,20.68
16.680,50.45045290,30.52498570,20.81
16.720,50.45045497,30.52498532,20.94
16.760,50.45045706,30.52498489,21.06
16.800,50.45045915,30.52498441,21.18
16.840,50.45046125,30.52498389,21.30
16.880,50.45046336,30.52498333,21.42
16.920,50.45046547,30.52498272,21.53
16.960,50.45046759,30.52498206,21.64
17.000,50.45046971,30.52498136,21.74
17.040,50.45047184,30.52498061,21.85
17.080,50.45047397,30.52497982,21.95
17.120,50.45047611,30.52497898,22.05
17.160,50.45047825,30.52497810,22.14
17.200,50.45048039,30.52497717,22.24
17.240,50.45048253,30.52497619,22.33
17.280,50.45048467,30.52497517,22.41
17.320,50.45048681,30.52497411,22.50
17.360,50.45048895,30.52497300,22.58
17.400,50.45049109,30.52497184,22.66
17.440,50.45049322,30.52497064,22.74
17.480,50.45049536,30.52496939,22.81
17.520,50.45049749,30.52496810,22.89
17.560,50.45049961,30.52496676,22.95
17.600,50.45050174,30.52496537,23.02
17.640,50.45050385,30.52496394,23.09
17.680,50.45050596,30.52496247,23.15
17.720,50.45050807,30.52496095,23.21
17.760,50.45051017,30.52495938,23.27
17.800,50.45051226,30.52495777,23.32
17.840,50.45051434,30.52495611,23.38
17.880,50.45051641,30.52495441,23.43
17.920,50.45051847,30.52495266,23.48
17.960,50.45052052,30.52495087,23.53
18.000,50.45052256,30.52494903,23.58
18.040,50.45052459,30.52494714,23.62
18.080,50.45052661,30.52494521,23.67
18.120,50.45052862,30.52494323,23.71
18.160,50.45053061,30.52494121,23.75
18.200,50.45053258,30.52493915,23.79
18.240,50.45053455,30.52493703,23.83
18.280,50.45053649,30.52493487,23.87
18.320,50.45053842,30.52493267,23.91
18.360,50.45054034,30.52493042,23.95
18.400,50.45054223,30.52492813,23.99
18.440,50.45054411,30.52492579,24.02
18.480,50.45054597,30.52492340,24.06
18.520,50.45054781,30.52492097,24.10
18.560,50.45054963,30.52491849,24.13
18.600,50.45055143,30.52491597,24.17
18.640,50.45055321,30.52491340,24.21
18.680,50.45055497,30.52491079,24.25
18.720,50.45055671,30.52490813,24.29
18.760,50.45055842,30.52490543,24.33
18.800,50.45056011,30.52490268,24.37
18.840,50.45056177,30.52489988,24.41
18.880,50.45056341,30.52489704,24.45
18.920,50.45056502,30.52489415,24.50
18.960,50.45056661,30.52489122,24.55
19.000,50.45056817,30.52488825,24.60
19.040,50.45056970,30.52488522,24.65
19.080,50.45057121,30.52488215,24.71
19.120,50.45057269,30.52487904,24.82
19.160,50.45057417,30.52487588,25.03
19.200,50.45057565,30.52487268,25.26
19.240,50.45057713,30.52486943,25.49
19.280,50.45057861,30.52486613,25.71
19.320,50.45058008,30.52486279,25.93
19.360,50.45058155,30.52485940,26.15
19.400,50.45058302,30.52485597,26.36
19.440,50.45058448,30.52485249,26.58
19.480,50.45058593,30.52484897,26.79
19.520,50.45058738,30.52484540,27.00
19.560,50.45058882,30.52484178,27.21
19.600,50.45059026,30.52483812,27.42
19.640,50.45059168,30.52483442,27.62
19.680,50.45059310,30.52483067,27.83
19.720,50.45059451,30.52482687,28.03
19.760,50.45059591,30.52482303,28.23
19.800,50.45059730,30.52481914,28.43
19.840,50.45059867,30.52481521,28.63
19.880,50.45060004,30.52481123,28.83
19.920,50.45060139,30.52480720,29.03
19.960,50.45060273,30.52480313,29.22
20.000,50.45060405,30.52479902,29.42
20.040,50.45060536,30.52479486,29.61
20.080,50.45060666,30.52479065,29.81
20.120,50.45060794,30.52478640,30.00
20.160,50.45060920,30.52478210,30.20
20.200,50.45061045,30.52477776,30.39
20.240,50.45061167,30.52477337,30.58
20.280,50.45061288,30.52476893,30.78
20.320,50.45061407,30.52476445,30.97
20.360,50.45061524,30.52475993,31.16
20.400,50.45061640,30.52475536,31.36
20.440,50.45061753,30.52475074,31.55
20.480,50.45061863,30.52474608,31.75
20.520,50.45061972,30.52474137,31.94
20.560,50.45062078,30.52473662,32.14
20.600,50.45062182,30.52473182,32.34
20.640,50.45062284,30.52472698,32.54
20.680,50.45062383,30.52472209,32.74
20.720,50.45062480,30.52471715,32.94
20.760,50.45062574,30.52471217,33.14
20.800,50.45062665,30.52470715,33.34
20.840,50.45062754,30.52470207,33.55
20.880,50.45062840,30.52469696,33.76
20.920,50.45062923,30.52469179,33.97
20.960,50.45063003,30.52468659,34.18
21.000,50.45063080,30.52468133,34.39
21.040,50.45063154,30.52467603,34.61
21.080,50.45063225,30.52467069,34.83
21.120,50.45063293,30.52466530,35.05
21.160,50.45063357,30.52465986,35.27
21.200,50.45063418,30.52465438,35.50
21.240,50.45063476,30.52464885,35.73
21.280,50.45063531,30.52464328,35.96
21.320,50.45063582,30.52463766,36.20
21.360,50.45063629,30.52463200,36.44
21.400,50.45063673,30.52462629,36.68
21.440,50.45063713,30.52462054,36.93
21.480,50.45063749,30.52461474,37.18
21.520,50.45063782,30.52460889,37.43
21.560,50.45063810,30.52460300,37.69
21.600,50.45063835,30.52459707,37.95
21.640,50.45063856,30.52459108,38.22
21.680,50.45063873,30.52458506,38.49
21.720,50.45063885,30.52457898,38.76
21.760,50.45063894,30.52457286,39.04
21.800,50.45063898,30.52456670,39.32
21.840,50.45063896,30.52456047,39.77
21.880,50.45063886,30.52455412,40.51
21.920,50.45063866,30.52454764,41.37
21.960,50.45063836,30.52454104,42.23
22.000,50.45063798,30.52453431,43.08
22.040,50.45063751,30.52452747,43.92
22.080,50.45063695,30.52452051,44.74
22.120,50.45063632,30.52451344,45.54
22.160,50.45063561,30.52450626,46.33
22.200,50.45063482,30.52449899,47.09
22.240,50.45063396,30.52449161,47.83
22.280,50.45063304,30.52448414,48.55
22.320,50.45063205,30.52447658,49.24
22.360,50.45063099,30.52446893,49.91
22.400,50.45062988,30.52446120,50.55
22.440,50.45062872,30.52445339,51.16
22.480,50.45062750,30.52444551,51.74
22.520,50.45062624,30.52443756,52.29
22.560,50.45062493,30.52442954,52.81
22.600,50.45062357,30.52442146,53.31
22.640,50.45062218,30.52441332,53.77
22.680,50.45062075,30.52440512,54.19
22.720,50.45061929,30.52439688,54.59
22.760,50.45061780,30.52438859,54.96
22.800,50.45061628,30.52438026,55.29
22.840,50.45061474,30.52437189,55.59
22.880,50.45061318,30.52436348,55.85
22.920,50.45061160,30.52435505,56.08
22.960,50.45061001,30.52434659,56.28
23.000,50.45060841,30.52433810,56.45
23.040,50.45060680,30.52432960,56.58
23.080,50.45060519,30.52432108,56.68
23.120,50.45060358,30.52431256,56.75
23.160,50.45060197,30.52430402,56.78
23.200,50.45060036,30.52429549,56.78
23.240,50.45059876,30.52428696,56.74
23.280,50.45059718,30.52427843,56.67
23.320,50.45059561,30.52426991,56.57
23.360,50.45059406,30.52426141,56.43
23.400,50.45059252,30.52425292,56.26
23.440,50.45059102,30.52424446,56.06
23.480,50.45058954,30.52423602,55.83
23.520,50.45058809,30.52422761,55.56
23.560,50.45058668,30.52421924,55.26
23.600,50.45058531,30.52421090,54.94
23.640,50.45058397,30.52420261,54.58
23.680,50.45058268,30.52419436,54.19
23.720,50.45058144,30.52418616,53.77
23.760,50.45058024,30.52417802,53.32
23.800,50.45057910,30.52416993,52.84
23.840,50.45057802,30.52416191,52.33
23.880,50.45057700,30.52415395,51.80
23.920,50.45057603,30.52414606,51.24
23.960,50.45057514,30.52413824,50.65
24.000,50.45057431,30.52413051,50.05
24.040,50.45057356,30.52412285,49.41
24.080,50.45057288,30.52411528,48.76
24.120,50.45057228,30.52410780,48.09
24.160,50.45057177,30.52410042,47.40
24.200,50.45057134,30.52409313,46.69
24.240,50.45057099,30.52408595,45.97
24.280,50.45057074,30.52407887,45.23
24.320,50.45057059,30.52407190,44.49
24.360,50.45057053,30.52406504,43.74
24.400,50.45057057,30.52405831,42.98
24.440,50.45057072,30.52405169,42.23
24.480,50.45057097,30.52404520,41.48
24.520,50.45057134,30.52403884,40.73
24.560,50.45057182,30.52403261,40.06
24.600,50.45057242,30.52402648,39.57
24.640,50.45057315,30.52402044,39.23
24.680,50.45057400,30.52401448,38.94
24.720,50.45057497,30.52400861,38.69
24.760,50.45057605,30.52400282,38.49
24.800,50.45057725,30.52399711,38.33
24.840,50.45057855,30.52399148,38.20
24.880,50.45057995,30.52398593,38.11
24.920,50.45058145,30.52398045,38.05
24.960,50.45058304,30.52397504,38.01
25.000,50.45058472,30.52396971,38.00
25.040,50.45058650,30.52396444,38.01
25.080,50.45058835,30.52395924,38.04
25.120,50.45059028,30.52395410,38.08
25.160,50.45059229,30.52394902,38.13
25.200,50.45059438,30.52394401,38.19
25.240,50.45059652,30.52393905,38.26
25.280,50.45059874,30.52393415,38.33
25.320,50.45060101,30.52392930,38.40
25.360,50.45060334,30.52392451,38.47
25.400,50.45060572,30.52391976,38.54
25.440,50.45060815,30.52391507,38.61
25.480,50.45061063,30.52391042,38.67
25.520,50.45061314,30.52390581,38.72
25.560,50.45061570,30.52390125,38.76
25.600,50.45061829,30.52389673,38.79
25.640,50.45062090,30.52389224,38.81
25.680,50.45062355,30.52388779,38.81
25.720,50.45062621,30.52388338,38.80
25.760,50.45062889,30.52387900,38.78
25.800,50.45063159,30.52387464,38.74
25.840,50.45063430,30.52387032,38.68
25.880,50.45063701,30.52386602,38.61
25.920,50.45063973,30.52386175,38.52
25.960,50.45064244,30.52385750,38.42
26.000,50.45064515,30.52385327,38.29
26.040,50.45064786,30.52384906,38.15
26.080,50.45065055,30.52384486,37.98
26.120,50.45065322,30.52384068,37.80
26.160,50.45065587,30.52383651,37.61
26.200,50.45065850,30.52383235,37.39
26.240,50.45066110,30.52382820,37.16
26.280,50.45066367,30.52382405,36.91
26.320,50.45066621,30.52381991,36.64
26.360,50.45066870,30.52381577,36.36
26.400,50.45067116,30.52381163,36.06
26.440,50.45067356,30.52380749,35.75
26.480,50.45067592,30.52380335,35.43
26.520,50.45067822,30.52379920,35.10
26.560,50.45068046,30.52379504,34.75
26.600,50.45068264,30.52379087,34.40
26.640,50.45068475,30.52378669,34.05
26.680,50.45068679,30.52378250,33.68
26.720,50.45068876,30.52377829,33.32
26.760,50.45069065,30.52377406,32.96
26.800,50.45069246,30.52376982,32.60
26.840,50.45069419,30.52376555,32.25
26.880,50.45069582,30.52376125,31.91
26.920,50.45069737,30.52375694,31.59
26.960,50.45069881,30.52375259,31.28
27.000,50.45070016,30.52374821,31.00
27.040,50.45070140,30.52374380,30.75
27.080,50.45070253,30.52373936,30.53
27.120,50.45070355,30.52373488,30.34
27.160,50.45070446,30.52373037,30.20
27.200,50.45070524,30.52372581,30.11
27.240,50.45070590,30.52372122,30.07
27.280,50.45070644,30.52371658,30.07
27.320,50.45070688,30.52371192,30.02
27.360,50.45070723,30.52370727,29.91
27.400,50.45070750,30.52370261,29.82
27.440,50.45070768,30.52369796,29.76
27.480,50.45070779,30.52369330,29.72
27.520,50.45070782,30.52368864,29.70
27.560,50.45070778,30.52368399,29.70
27.600,50.45070766,30.52367933,29.72
27.640,50.45070747,30.52367468,29.76
27.680,50.45070721,30.52367002,29.81
27.720,50.45070689,30.52366537,29.88
27.760,50.45070650,30.52366071,29.96
27.800,50.45070604,30.52365606,30.05
